"title","body","labels","assignees","milestone","project"
"Phase D.2 - Add in-request identity maps (Step 13)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase D\nPhase: Phase D - Interfaces, identity maps, caching decorators (structural)\n\nObjective:\nUse interfaces and add identity-map caches and optional persistent caching decorators.\n\nTasks:\n- Implement `$cache` and `$all_loaded` within repository singletons: Template, Schedule, Voices repositories.\n- Add unit tests to ensure repeated `get_by_id()` uses cached result.\n\nEst. effort: 1 day","Performance 2 - Phase D","","Performance 2","3"
"Phase D.3 - Implement optional persistent caching decorators","Source: Post-Implementation Performance Roadmap - Next Plan, Phase D\nPhase: Phase D - Interfaces, identity maps, caching decorators (structural)\n\nObjective:\nUse interfaces and add identity-map caches and optional persistent caching decorators.\n\nTasks:\n- Create caching decorator wrappers that use `wp_cache_get()/set()` with conservative TTLs.\n- Register decorator in container conditionally (detect persistent object cache availability).\n\nTests:\n- Integration tests verifying decorator reduces DB queries when persistent cache is present.\n\nEst. effort: 2 days","Performance 2 - Phase D","","Performance 2","3"
"Phase E.1 - Inventory DTO adoption targets","Source: Post-Implementation Performance Roadmap - Next Plan, Phase E\nPhase: Phase E - DTO rollout and code modernization (Step 16 + follow-ups)\n\nObjective:\nReplace ad-hoc arrays with typed DTOs across high-traffic paths.\n\nTasks:\n- Map where arrays are returned/consumed for each DTO:\n  - `AIPS_Generation_Result`\n  - `AIPS_Schedule_Entry`\n  - `AIPS_Template_Data`\n  - `AIPS_Ajax_Response` (helpers)\n- Prioritize flows: generation -> scheduler -> controllers -> responses.\n\nEst. effort: 0.5 day","Performance 2 - Phase E","","Performance 2","3"
"Phase E.2 - Migrate generator flows to `AIPS_Generation_Result`","Source: Post-Implementation Performance Roadmap - Next Plan, Phase E\nPhase: Phase E - DTO rollout and code modernization (Step 16 + follow-ups)\n\nObjective:\nReplace ad-hoc arrays with typed DTOs across high-traffic paths.\n\nTasks:\n- Change generator APIs to return the DTO; add `toArray()` for compatibility.\n- Update callers to consume DTOs directly.\n\nTests:\n- Unit and integration tests for generation success/partial/failure flows.\n\nEst. effort: 1-3 days (incremental PRs)","Performance 2 - Phase E","","Performance 2","3"
"Phase E.3 - Migrate repository returns to DTOs","Source: Post-Implementation Performance Roadmap - Next Plan, Phase E\nPhase: Phase E - DTO rollout and code modernization (Step 16 + follow-ups)\n\nObjective:\nReplace ad-hoc arrays with typed DTOs across high-traffic paths.\n\nTasks:\n- Update repository methods to return typed DTOs for schedule and template rows.\n- Update consumers (scheduler, renderers) accordingly.\n\nTests:\n- Unit tests for repository return shapes and consumers.\n\nEst. effort: 2-4 days","Performance 2 - Phase E","","Performance 2","3"
"Phase E.4 - Standardize AJAX responses using `AIPS_Ajax_Response`","Source: Post-Implementation Performance Roadmap - Next Plan, Phase E\nPhase: Phase E - DTO rollout and code modernization (Step 16 + follow-ups)\n\nObjective:\nReplace ad-hoc arrays with typed DTOs across high-traffic paths.\n\nTasks:\n- Migrate controllers to the centralized success/error helpers.\n- Confirm consistent JSON shapes across endpoints.\n\nEst. effort: 1-2 days","Performance 2 - Phase E","","Performance 2","3"
"Phase F.1 - Split `aipsAdminL10n` into page-scoped objects","Source: Post-Implementation Performance Roadmap - Next Plan, Phase F\nPhase: Phase F - Asset and JS payload reduction (Step 14 + extras)\n\nObjective:\nReduce JS payload size and localization bloat.\n\nTasks:\n- Move page-specific strings into smaller localized objects pushed only on relevant pages.\n- Keep a tiny shared object for common strings.\n\nTests:\n- Browser smoke tests ensuring required strings exist on each admin page.\n\nEst. effort: 1 day","Performance 2 - Phase F","","Performance 2","3"
"Phase F.2 - Scope or lazy-load `admin-embeddings.js`","Source: Post-Implementation Performance Roadmap - Next Plan, Phase F\nPhase: Phase F - Asset and JS payload reduction (Step 14 + extras)\n\nObjective:\nReduce JS payload size and localization bloat.\n\nTasks:\n- Enqueue `admin-embeddings.js` only on authors/author-topics pages.\n- Consider dynamic import/code-splitting if build tooling in place.\n\nEst. effort: 1 day","Performance 2 - Phase F","","Performance 2","3"
"Phase G.1 - Ensure composite indexes exist and migrations applied (Step 3)","Source: Post-Implementation Performance Roadmap - Next Plan, Phase G\nPhase: Phase G - Database and query tuning (Step 3 + ongoing)\n\nObjective:\nEnsure DB schemas and queries are optimal and migrations applied.\n\nTasks:\n- Apply idempotent DB migration to add:\n  - `KEY is_read_created_at (is_read, created_at)`\n  - `KEY dedupe_key_created_at (dedupe_key, created_at)`\n- Use `AIPS_Upgrades` with safe checks.\n\nTests:\n- Verify index existence on staging and run `EXPLAIN` for hot queries.\n\nEst. effort: 0.5 day","Performance 2 - Phase G","","Performance 2","3"
"Phase G.2 - Sweep query hotspots for improvements","Source: Post-Implementation Performance Roadmap - Next Plan, Phase G\nPhase: Phase G - Database and query tuning (Step 3 + ongoing)\n\nObjective:\nEnsure DB schemas and queries are optimal and migrations applied.\n\nTasks:\n- Replace triplet `get_post_meta()` reads with `metadata_exists()` (Step 9).\n- Avoid `SELECT *` when only columns are required.\n- Add LIMITs and index-friendly ORDER BYs.\n\nTests:\n- `EXPLAIN` plans; query count/latency checks.\n\nEst. effort: 1-2 days","Performance 2 - Phase G","","Performance 2","3"
"Phase H.1 - Add performance CI job","Source: Post-Implementation Performance Roadmap - Next Plan, Phase H\nPhase: Phase H - Observability, CI, and regression guards\n\nObjective:\nPrevent regressions and measure impact continuously.\n\nTasks:\n- Add a GitHub Actions job that runs a small benchmark script:\n  - Boots WordPress (or uses WP-CLI)\n  - Loads a representative admin page, frontend page, and an AJAX endpoint\n  - Records `$wpdb->num_queries`, `memory_get_peak_usage()`, and wall time\n- Fail PRs when thresholds are exceeded compared to baseline.\n\nEst. effort: 1-2 days","Performance 2 - Phase H","","Performance 2","3"
"Phase H.2 - Add request-level telemetry for staging/dev","Source: Post-Implementation Performance Roadmap - Next Plan, Phase H\nPhase: Phase H - Observability, CI, and regression guards\n\nObjective:\nPrevent regressions and measure impact continuously.\n\nTasks:\n- Add optional telemetry (only in staging/dev) to log class instantiations, query counts, and significant events (e.g., cache misses).\n- Use it to validate lazy-init and container registration coverage.\n\nEst. effort: 1 day","Performance 2 - Phase H","","Performance 2","3"
"Phase H.3 - Load testing and real-world smoke","Source: Post-Implementation Performance Roadmap - Next Plan, Phase H\nPhase: Phase H - Observability, CI, and regression guards\n\nObjective:\nPrevent regressions and measure impact continuously.\n\nTasks:\n- Run load tests for generation and admin UI concurrency (wrk/ab).\n- Validate AI API rate-limits, background job behavior.\n\nEst. effort: 1-2 days","Performance 2 - Phase H","","Performance 2","3"
